month,month_name,hour,avg_kwh,p10_kwh,p90_kwh
8,Aug,17,0.4198620312434917,0.13478387096774194,0.7866887125806452
8,Aug,18,0.45015391729441023,0.14863064516129032,0.8372241935483872
8,Aug,19,0.4687366201102794,0.15668709677419357,0.8625838695161291
8,Aug,20,0.49286874445777223,0.16838870967741934,0.8939532270967743
8,Aug,21,0.4664991964765094,0.15561451612903227,0.8586548387096774
8,Aug,22,0.39318393956758196,0.11948548387096773,0.7480935483870973
8,Aug,23,0.30751357080392605,0.09111129032258064,0.5997032258064521
9,Sep,0,0.26788350234365343,0.07455333333333332,0.502355
9,Sep,1,0.22671332606381103,0.06616999999999999,0.4153316666666672
9,Sep,2,0.2038950511755713,0.06313666666666666,0.3772716666666667
9,Sep,3,0.1965103504304964,0.06204166666666667,0.36034751412429405
9,Sep,4,0.20371062293018485,0.06362166666666667,0.36767999983333344
9,Sep,5,0.23765924591838195,0.06995,0.45297000000000043
9,Sep,6,0.3210419249886636,0.08831833333333333,0.6244616668333334
9,Sep,7,0.37240934411220167,0.10776666666666666,0.7106966666666669
9,Sep,8,0.3783384653836992,0.11714000000000001,0.7067250000000002
9,Sep,9,0.37862245371978637,0.11646000000000001,0.7070613636363642
9,Sep,10,0.37321741669705966,0.113725,0.6928900000000002
9,Sep,11,0.3772249968993802,0.11430772727272727,0.7012349996666675
9,Sep,12,0.3811132231174731,0.11913000000000001,0.7072800000000002
9,Sep,13,0.36872964989824625,0.11491666666666667,0.687479268292683
9,Sep,14,0.3607142134237657,0.11310333333333333,0.6681516666666667
9,Sep,15,0.37995384511461316,0.11806833333333334,0.7131000000000006
9,Sep,16,0.4297511023693594,0.13231833333333334,0.8261416665000002
9,Sep,17,0.4906650151803049,0.14656166666666665,0.9380383335000001
9,Sep,18,0.5584367748669601,0.17004166666666667,1.0686016665000009
9,Sep,19,0.5922371646686481,0.18465166666666666,1.0998449986666679
9,Sep,20,0.5642770162316925,0.1800720691321839,1.0452900018333338
9,Sep,21,0.5074480493508053,0.15472333333333335,0.9475833363333334
9,Sep,22,0.41144450084804957,0.11574166666666666,0.7887833350000002
9,Sep,23,0.3099737054683707,0.08688666666666667,0.6113900000000003
10,Oct,0,0.2967112452466688,0.0759,0.5500000000000002
10,Oct,1,0.2506008881123699,0.0671,0.4457199365415125
10,Oct,2,0.22053410397168105,0.06384838709677419,0.40553548387096816
10,Oct,3,0.2100284576942428,0.06274516129032258,0.3856451612903226
10,Oct,4,0.21627695445329592,0.06418387096774193,0.40212009925558323
10,Oct,5,0.25310912505345334,0.07060645161290323,0.4937741935483872
10,Oct,6,0.34610282979985096,0.0897344262295082,0.6909548387096776
10,Oct,7,0.4164113871195025,0.11680645161290323,0.7996645141935484
10,Oct,8,0.42336387903411415,0.12731612903225806,0.801529031612904
10,Oct,9,0.42057393471561166,0.12405161290322582,0.796151827068101
10,Oct,10,0.41141616976368195,0.12252618917441224,0.7749677429032259
10,Oct,11,0.41289748090016243,0.1215483870967742,0.7694129006451615
10,Oct,12,0.415965486823973,0.12440645161290323,0.7709645187096775
10,Oct,13,0.40772873189454917,0.12369999999999999,0.75763006188744
10,Oct,14,0.40051435347897013,0.12076451612903226,0.7467866008933003
10,Oct,15,0.42360656079842834,0.12640645161290323,0.8093645138709685
10,Oct,16,0.4878530749732441,0.1426258064516129,0.9329874666367004
10,Oct,17,0.5956515637636365,0.17386451677419354,1.1372651778908192
10,Oct,18,0.6780761568220811,0.20308560188827693,1.2791967774193551
10,Oct,19,0.6600430795766522,0.20601612903225808,1.2374483861290324
10,Oct,20,0.6144120163773469,0.19543225806451614,1.155618675721562
10,Oct,21,0.5537616900771429,0.17109677419354838,1.0496870957741944
10,Oct,22,0.4556436785923366,0.1297709677419355,0.883841933870968
10,Oct,23,0.346357139723618,0.09335483870967742,0.6861451612903227
11,Nov,0,0.40554360862117866,0.08998166666666667,0.7771733333333334
11,Nov,1,0.32374608495341584,0.07256166666666668,0.5940257692307692
11,Nov,2,0.2695304547643275,0.06490000000000001,0.4922316666666665
11,Nov,3,0.2448634146037258,0.06213833333333334,0.4495633333333333
11,Nov,4,0.23635521244138916,0.061388333333333336,0.4341583356666667
11,Nov,5,0.24771337869670407,0.06346757575757575,0.4774533333333333
11,Nov,6,0.29616545640257813,0.07181333333333337,0.5946816666666664
11,Nov,7,0.39784310794731037,0.096405,0.8136
11,Nov,8,0.47157720360536515,0.12079666666666668,0.9182633338333333
11,Nov,9,0.47185464179496256,0.13562166666666667,0.9009866618333332
11,Nov,10,0.46406270831495944,0.12855129943502824,0.8773733356666665
11,Nov,11,0.45291070882107154,0.12632500000000002,0.871690001
11,Nov,12,0.45877477580024423,0.12688666666666668,0.866459997
11,Nov,13,0.4679835567771713,0.13270166666666666,0.883711353559322
11,Nov,14,0.46121391641736215,0.13088333333333335,0.8776566673333327
11,Nov,15,0.46779683736065086,0.1315344871794872,0.8964370350847456
11,Nov,16,0.5407037015006302,0.14961833333333335,1.0388849993333333
11,Nov,17,0.6716149751395053,0.185115,1.312296668333333
11,Nov,18,0.7415503642847544,0.21079833333333337,1.4267149971666664
11,Nov,19,0.7555658591013265,0.22107666666666667,1.4448016659999998
11,Nov,20,0.7188981716720468,0.216555,1.370248337
11,Nov,21,0.6691898633650599,0.19956500000000002,1.2660983333333333
11,Nov,22,0.5980743473956062,0.17501500000000006,1.1421066666666666
11,Nov,23,0.4852087687678155,0.122905,0.9467666656666663
12,Dec,0,0.4499005064061134,0.09236612903225806,0.8613516129032261
12,Dec,1,0.3577085374049523,0.07404264939185617,0.66804999983871
12,Dec,2,0.29762015595473756,0.06535483870967741,0.5628999479889113
