K,q,ng,nc,np,net_seed,role_seed,kappa_c
4,0.15,5,5,40,2320982630,2208792453,0.15703125000000293
4,0.15,5,5,40,929414832,3521055929,0.2164062500000031
4,0.15,5,5,40,929414832,4158162154,0.28828125000000243
4,0.15,5,5,40,4228177846,4077537332,0.189843750000003
4,0.15,5,5,40,4228177846,1110978934,0.22109375000000303
4,0.15,5,5,40,4228177846,645277141,0.22734375000000295
4,0.15,5,5,40,1457215491,1242587499,0.17109375000000288
4,0.15,5,5,40,1457215491,3390317563,0.11640625000000292
4,0.15,5,5,40,4228177846,1664816946,0.22265625000000303
4,0.15,5,5,40,1457215491,549897173,0.16796875000000286
4,0.15,5,5,40,4228177846,661383495,0.25078125000000256
4,0.15,5,5,40,1457215491,590656339,0.14921875000000293
4,0.15,5,5,40,4290467949,1031577586,0.1476562500000029
4,0.15,5,5,40,4290467949,286005659,0.15390625000000288
4,0.15,5,5,40,4290467949,1144733986,0.15390625000000288
4,0.15,5,5,40,1457215491,1693269370,0.18828125000000287
4,0.15,5,5,40,4290467949,3901889000,0.1148437500000029
4,0.15,5,5,40,4102856381,1554871713,0.1335937500000029
4,0.15,5,5,40,1580439896,3716390907,0.2164062500000031
4,0.15,5,5,40,4290467949,4063837522,0.13203125000000454
4,0.15,5,5,40,1580439896,65536967,0.28203125000000245
4,0.15,5,5,40,1580439896,65126526,0.28203125000000245
4,0.15,5,5,40,4102856381,3312735568,0.1367187500000029
4,0.15,5,5,40,1580439896,1941952984,0.26796875000000253
4,0.15,5,5,40,1580439896,2696613554,0.19140625000000303
4,0.15,5,5,40,4102856381,4286084756,0.15546875000000288
4,0.15,5,5,40,1226860867,1877876062,0.1835937500000029
4,0.15,5,5,40,4102856381,3618630425,0.12734375000000286
4,0.15,5,5,40,1226860867,2115435447,0.22109375000000298
4,0.15,5,5,40,4102856381,94087671,0.12578125000000287
4,0.15,5,5,40,1226860867,641116865,0.15390625000000285
4,0.15,5,5,40,1226860867,2571088962,0.21328125000000295
4,0.15,5,5,40,1226860867,2112249195,0.1867187500000029
4,0.15,5,5,40,4230193914,1985770123,0.13984375000000288
4,0.15,5,5,40,4230193914,2762238718,0.25390625000000255
4,0.15,5,5,40,4230193914,2604889707,0.1648437500000029
4,0.15,5,5,40,1331805416,2435204932,0.1648437500000029
4,0.15,5,5,40,4230193914,265549308,0.2398437500000028
4,0.15,5,5,40,1331805416,759782896,0.14453125000000291
4,0.15,5,5,40,4230193914,3927163671,0.15703125000000287
4,0.15,5,5,40,1331805416,1329120195,0.1554687500000029
4,0.15,5,5,40,1331805416,1229605774,0.14609375000000288
4,0.15,5,5,40,1331805416,1871928132,0.1554687500000029
4,0.15,5,5,40,2943530823,2796012065,0.227343750000003
4,0.15,5,5,40,2943530823,4106932932,0.18828125000000293
4,0.15,5,5,40,2943530823,3361579553,0.20859375000000296
4,0.15,5,5,40,3926346677,4158721163,0.1648437500000029
4,0.15,5,5,40,2943530823,279891442,0.200781250000003
4,0.15,5,5,40,3926346677,698851803,0.1554687500000029
4,0.15,5,5,40,3926346677,220000487,0.14453125000000291
4,0.15,5,5,40,2943530823,1232967036,0.24921875000000254
4,0.15,5,5,40,3926346677,4201108775,0.17890625000000285
4,0.15,5,5,40,3926346677,1226339970,0.1304687500000029
4,0.15,5,5,40,1218354728,1879820599,0.1382812500000029
4,0.15,5,5,40,1218354728,3605679590,0.21015625000000296
4,0.15,5,5,40,1504274232,2692513335,0.1570312500000029
4,0.15,5,5,40,1504274232,1923657937,0.13359375000000284
4,0.15,5,5,40,1218354728,1232050577,0.15078125000000292
4,0.15,5,5,40,1218354728,1331301207,0.16015625000000286
4,0.15,5,5,40,1504274232,1932327714,0.17265625000000284
4,0.15,5,5,40,1218354728,1985197445,0.22109375000000298
4,0.15,5,5,40,1504274232,2790594784,0.1601562500000029
4,0.15,5,5,40,1504274232,3179268796,0.19296875000000288
4,0.15,5,5,40,1444196710,2887962316,0.1335937500000029
4,0.15,5,5,40,1444196710,531490568,0.1726562500000029
4,0.15,5,5,40,2949324016,1364510700,0.17109375000000285
4,0.15,5,5,40,1444196710,1287316638,0.17734375000000285
4,0.15,5,5,40,2949324016,93778900,0.11796875000000294
4,0.15,5,5,40,2949324016,4233892444,0.1601562500000029
4,0.15,5,5,40,1444196710,3754656024,0.22109375000000298
4,0.15,5,5,40,2949324016,3774360775,0.1882812500000029
4,0.15,5,5,40,2949324016,366196135,0.11953125000000321
4,0.15,5,5,40,1444196710,1811415719,0.15234375000000291
4,1.0,5,5,40,114023991,1509109875,0.1054687500000028
4,1.0,5,5,40,114023991,4260646116,0.1085937500000028
4,1.0,5,5,40,2761034522,772894843,0.10703125000000281
4,1.0,5,5,40,2761034522,1386169125,0.1085937500000028
4,1.0,5,5,40,114023991,867571986,0.1320312500000028
4,1.0,5,5,40,114023991,2491370757,0.1085937500000028
4,1.0,5,5,40,2761034522,3175701575,0.11796875000000279
4,1.0,5,5,40,114023991,1277147107,0.11796875000000279
4,1.0,5,5,40,2761034522,3194242001,0.1039062500000028
4,1.0,5,5,40,2761034522,2741568161,0.09921875000000281
4,1.0,5,5,40,2759528939,4083505205,0.14140625000000284
4,1.0,5,5,40,2759528939,3667547078,0.1132812500000028
4,1.0,5,5,40,2759528939,673138867,0.1070312500000028
4,1.0,5,5,40,2759528939,2825417023,0.1101562500000028
4,1.0,5,5,40,2759528939,51434682,0.11953125000000282
4,1.0,5,5,40,334521906,3126340788,0.13984375000000282
4,1.0,5,5,40,334521906,3711141708,0.11953125000000282
4,1.0,5,5,40,334521906,780506721,0.10546875000000278
4,1.0,5,5,40,334521906,3694651872,0.12109375000000284
4,1.0,5,5,40,334521906,2843702514,0.11328125000000278
4,1.0,5,5,40,3209774970,1541463269,0.09609375000000281
4,1.0,5,5,40,3209774970,2664689980,0.1117187500000028
4,1.0,5,5,40,3209774970,1925000949,0.1101562500000028
4,1.0,5,5,40,3209774970,3293500990,0.12265625000000281
4,1.0,5,5,40,3209774970,2348533891,0.11171875000000281
4,1.0,5,5,40,4124030280,1094552888,0.17734375000000285
4,1.0,5,5,40,4124030280,206592300,0.12109375000000284
4,1.0,5,5,40,4124030280,4036330308,0.0976562500000028
4,1.0,5,5,40,4124030280,1476503314,0.12890625000000283
4,1.0,5,5,40,3059782124,405635492,0.11640625000000278
4,1.0,5,5,40,3059782124,807924347,0.11796875000000281
4,1.0,5,5,40,4124030280,4226467208,0.11171875000000278
4,1.0,5,5,40,3059782124,4091750534,0.1304687500000028
4,1.0,5,5,40,3059782124,178768590,0.10703125000000281
4,1.0,5,5,40,23375732,2246245096,0.1085937500000028
4,1.0,5,5,40,23375732,3076009385,0.14140625000000281
4,1.0,5,5,40,23375732,780074656,0.1085937500000028
4,1.0,5,5,40,3059782124,1751862380,0.1164062500000028
4,1.0,5,5,40,23375732,2097406739,0.1117187500000028
4,1.0,5,5,40,23375732,2690246313,0.10546875000000282
4,1.0,5,5,40,1370898078,303070450,0.11484375000000281
4,1.0,5,5,40,1370898078,3389342568,0.1210937500000028
4,1.0,5,5,40,1370898078,887020236,0.1101562500000028
4,1.0,5,5,40,432348054,304181055,0.10703125000000281
4,1.0,5,5,40,1370898078,4156031221,0.08203125000000282
4,1.0,5,5,40,1370898078,364029146,0.10390625000000281
4,1.0,5,5,40,432348054,1660127479,0.09140625000000281
4,1.0,5,5,40,432348054,2117206118,0.11015625000000281
4,1.0,5,5,40,1771524503,1504093904,0.12109375000000278
4,1.0,5,5,40,432348054,3494255478,0.11171875000000281
4,1.0,5,5,40,432348054,2850020810,0.1101562500000028
4,1.0,5,5,40,1771524503,1384460031,0.12734375000000278
4,1.0,5,5,40,1771524503,982387077,0.0820312500000028
4,1.0,5,5,40,41979182,830814815,0.11953125000000281
4,1.0,5,5,40,1771524503,637755114,0.1101562500000028
4,1.0,5,5,40,1771524503,1674484917,0.10390625000000281
4,1.0,5,5,40,41979182,1591489994,0.08046875000000281
4,1.0,5,5,40,41979182,2769563214,0.10546875000000282
4,1.0,5,5,40,41979182,1526228515,0.1085937500000028
4,1.0,5,5,40,3708103938,1795435376,0.10703125000000281
4,1.0,5,5,40,3708103938,2318417870,0.1085937500000028
4,1.0,5,5,40,3708103938,1261936516,0.1085937500000028
4,1.0,5,5,40,41979182,3996305910,0.12109375000000279
4,1.0,5,5,40,2609304869,937173633,0.14140625000000281
4,1.0,5,5,40,3708103938,4070029910,0.11171875000000281
4,1.0,5,5,40,3708103938,2567260903,0.09140625000000281
4,1.0,5,5,40,2609304869,3510636879,0.10234375000000281
4,1.0,5,5,40,2609304869,96702598,0.08359375000000281
4,1.0,5,5,40,2609304869,2546635523,0.10546875000000282
4,1.0,5,5,40,2609304869,479743185,0.10703125000000281
4,1.0,5,5,40,2993040968,2831741410,0.10703125000000281
4,1.0,5,5,40,2993040968,3140310237,0.08984375000000282
4,1.0,5,5,40,2993040968,217933097,0.12265625000000281
4,1.0,5,5,40,2993040968,156322721,0.10859375000000282
4,1.0,5,5,40,2993040968,184841749,0.12265625000000281
4,1.0,5,5,40,3396914444,639530236,0.11328125000000279
4,1.0,5,5,40,2141130572,1216413522,0.1101562500000028
4,1.0,5,5,40,3396914444,3130183839,0.1164062500000028
4,1.0,5,5,40,3396914444,3209838885,0.1070312500000028
4,1.0,5,5,40,2141130572,1054078251,0.1179687500000028
4,1.0,5,5,40,2141130572,3411178450,0.1070312500000028
4,1.0,5,5,40,3396914444,2320442435,0.11484375000000281
4,1.0,5,5,40,2141130572,2050703906,0.09453125000000281
4,1.0,5,5,40,3396914444,802574409,0.11171875000000281
4,1.0,5,5,40,2141130572,4137611020,0.10859375000000278
4,1.0,5,5,40,3517135298,163596372,0.1070312500000028
4,1.0,5,5,40,3517135298,3781217442,0.11015625000000281
4,1.0,5,5,40,3517135298,1914763893,0.1101562500000028
4,1.0,5,5,40,3517135298,1771928408,0.1085937500000028
