rg,rc,rp,ng,nc,np,family,realisation,seed,household_mean_deg,kappa_c,connected
0.1,0.2,0.7,5,10,34,SBM,9,1209,4.041,14.564844,1
0.1,0.2,0.7,5,10,34,SBM,10,1210,4.041,14.880469,1
0.1,0.2,0.7,5,10,34,SBM,11,1211,4.000,14.700781,1
0.1,0.2,0.7,5,10,34,SBM,12,1212,4.082,14.786719,1
0.1,0.2,0.7,5,10,34,SBM,13,1213,4.000,14.908594,1
0.1,0.2,0.7,5,10,34,SBM,14,1214,4.000,14.974219,1
0.1,0.2,0.7,5,10,34,SBM,15,1215,3.959,NaN,1
0.1,0.2,0.7,5,10,34,SBM,16,1216,4.082,14.910936,1
0.1,0.2,0.7,5,10,34,SBM,17,1217,3.959,0.208594,1
0.1,0.2,0.7,5,10,34,SBM,18,1218,3.918,14.837500,1
0.1,0.2,0.7,5,10,34,SBM,19,1219,3.918,NaN,1
0.1,0.2,0.7,5,10,34,SBM,20,1220,4.000,15.000000,1
0.1,0.2,0.7,5,10,34,SBM,21,1221,3.918,14.868359,1
0.1,0.2,0.7,5,10,34,SBM,22,1222,4.000,14.387109,1
0.1,0.2,0.7,5,10,34,SBM,23,1223,3.918,NaN,1
0.1,0.2,0.7,5,10,34,SBM,24,1224,4.041,NaN,1
0.1,0.2,0.7,5,10,34,SBM,25,1225,4.000,NaN,1
0.1,0.2,0.7,5,10,34,SBM,26,1226,4.041,14.789844,1
0.1,0.2,0.7,5,10,34,SBM,27,1227,4.041,14.866406,1
0.1,0.2,0.7,5,10,34,SBM,28,1228,3.918,14.760937,1
0.1,0.2,0.7,5,10,34,SBM,29,1229,4.000,14.723437,1
0.1,0.2,0.7,5,10,34,CP,0,1300,4.000,30.000000,1
0.1,0.2,0.7,5,10,34,CP,1,1301,4.000,NaN,1
0.1,0.2,0.7,5,10,34,CP,2,1302,4.041,29.973438,1
0.1,0.2,0.7,5,10,34,CP,3,1303,4.082,30.000000,1
0.1,0.2,0.7,5,10,34,CP,4,1304,4.000,NaN,1
0.1,0.2,0.7,5,10,34,CP,5,1305,3.959,NaN,1
0.1,0.2,0.7,5,10,34,CP,6,1306,4.082,NaN,1
0.1,0.2,0.7,5,10,34,CP,7,1307,3.959,30.000000,1
0.1,0.2,0.7,5,10,34,CP,8,1308,4.041,NaN,1
0.1,0.2,0.7,5,10,34,CP,9,1309,4.000,NaN,1
0.1,0.2,0.7,5,10,34,CP,10,1310,3.918,NaN,1
0.1,0.2,0.7,5,10,34,CP,11,1311,3.918,NaN,1
0.1,0.2,0.7,5,10,34,CP,12,1312,4.000,29.700000,1
0.1,0.2,0.7,5,10,34,CP,13,1313,3.959,29.950000,1
0.1,0.2,0.7,5,10,34,CP,14,1314,3.959,NaN,1
0.1,0.2,0.7,5,10,34,CP,15,1315,4.041,NaN,1
0.1,0.2,0.7,5,10,34,CP,16,1316,4.000,29.579492,1
0.1,0.2,0.7,5,10,34,CP,17,1317,4.082,NaN,1
0.1,0.2,0.7,5,10,34,CP,18,1318,3.918,29.851172,1
0.1,0.2,0.7,5,10,34,CP,19,1319,3.918,NaN,1
0.1,0.2,0.7,5,10,34,CP,20,1320,4.082,NaN,1
0.1,0.2,0.7,5,10,34,CP,21,1321,4.082,NaN,1
0.1,0.2,0.7,5,10,34,CP,22,1322,4.000,29.993359,1
0.1,0.2,0.7,5,10,34,CP,23,1323,3.959,29.937109,1
0.1,0.2,0.7,5,10,34,CP,24,1324,3.959,29.755469,1
0.1,0.2,0.7,5,10,34,CP,25,1325,4.041,30.000000,1
0.1,0.2,0.7,5,10,34,CP,26,1326,3.918,29.999976,1
0.1,0.2,0.7,5,10,34,CP,27,1327,3.959,NaN,1
0.1,0.2,0.7,5,10,34,CP,28,1328,4.000,29.856250,1
0.1,0.2,0.7,5,10,34,CP,29,1329,3.918,30.000000,1
0.1,0.3,0.6,5,15,29,WS,0,2000,4.000,0.178906,1
0.1,0.3,0.6,5,15,29,WS,1,2001,4.000,0.207031,1
0.1,0.3,0.6,5,15,29,WS,2,2002,4.000,0.246094,1
0.1,0.3,0.6,5,15,29,WS,3,2003,4.000,0.211719,1
0.1,0.3,0.6,5,15,29,WS,4,2004,4.000,0.402344,1
0.1,0.3,0.6,5,15,29,WS,5,2005,4.000,0.164844,1
0.1,0.3,0.6,5,15,29,WS,6,2006,4.000,0.130469,1
0.1,0.3,0.6,5,15,29,WS,7,2007,4.000,0.133594,1
0.1,0.3,0.6,5,15,29,WS,8,2008,4.000,0.227344,1
0.1,0.3,0.6,5,15,29,WS,9,2009,4.000,0.310156,1
0.1,0.3,0.6,5,15,29,WS,10,2010,4.000,0.225781,1
0.1,0.3,0.6,5,15,29,WS,11,2011,4.000,0.124219,1
0.1,0.3,0.6,5,15,29,WS,12,2012,4.000,0.228906,1
0.1,0.3,0.6,5,15,29,WS,13,2013,4.000,0.210156,1
0.1,0.3,0.6,5,15,29,WS,14,2014,4.000,0.275781,1
0.1,0.3,0.6,5,15,29,WS,15,2015,4.000,0.108594,1
0.1,0.3,0.6,5,15,29,WS,16,2016,4.000,0.139844,1
0.1,0.3,0.6,5,15,29,WS,17,2017,4.000,0.167969,1
0.1,0.3,0.6,5,15,29,WS,18,2018,4.000,0.169531,1
0.1,0.3,0.6,5,15,29,WS,19,2019,4.000,0.188281,1
0.1,0.3,0.6,5,15,29,WS,20,2020,4.000,0.224219,1
0.1,0.3,0.6,5,15,29,WS,21,2021,4.000,0.127344,1
0.1,0.3,0.6,5,15,29,WS,22,2022,4.000,0.260156,1
0.1,0.3,0.6,5,15,29,WS,23,2023,4.000,0.153906,1
0.1,0.3,0.6,5,15,29,WS,24,2024,4.000,0.158594,1
0.1,0.3,0.6,5,15,29,WS,25,2025,4.000,0.225781,1
0.1,0.3,0.6,5,15,29,WS,26,2026,4.000,0.164844,1
0.1,0.3,0.6,5,15,29,WS,27,2027,4.000,0.160156,1
0.1,0.3,0.6,5,15,29,WS,28,2028,4.000,0.166406,1
0.1,0.3,0.6,5,15,29,WS,29,2029,4.000,0.225781,1
0.1,0.3,0.6,5,15,29,RGG,0,2100,3.918,NaN,1
0.1,0.3,0.6,5,15,29,RGG,1,2101,4.000,14.310156,1
0.1,0.3,0.6,5,15,29,RGG,2,2102,4.000,14.887500,1
0.1,0.3,0.6,5,15,29,RGG,3,2103,4.000,14.974951,1
0.1,0.3,0.6,5,15,29,RGG,4,2104,4.000,14.946680,1
0.1,0.3,0.6,5,15,29,RGG,5,2105,4.082,14.965234,1
0.1,0.3,0.6,5,15,29,RGG,6,2106,4.041,NaN,1
0.1,0.3,0.6,5,15,29,RGG,7,2107,3.959,0.207031,1
0.1,0.3,0.6,5,15,29,RGG,8,2108,3.918,14.721875,1
0.1,0.3,0.6,5,15,29,RGG,9,2109,3.959,14.663867,1
0.1,0.3,0.6,5,15,29,RGG,10,2110,4.041,14.901172,1
0.1,0.3,0.6,5,15,29,RGG,11,2111,4.041,NaN,1
0.1,0.3,0.6,5,15,29,RGG,12,2112,4.082,NaN,1
0.1,0.3,0.6,5,15,29,RGG,13,2113,4.000,0.452344,1
0.1,0.3,0.6,5,15,29,RGG,14,2114,4.000,NaN,1
0.1,0.3,0.6,5,15,29,RGG,15,2115,4.000,0.482031,1
0.1,0.3,0.6,5,15,29,RGG,16,2116,3.918,NaN,1
0.1,0.3,0.6,5,15,29,RGG,17,2117,3.959,14.849219,1
0.1,0.3,0.6,5,15,29,RGG,18,2118,4.041,14.824976,1
0.1,0.3,0.6,5,15,29,RGG,19,2119,4.041,14.873437,1
0.1,0.3,0.6,5,15,29,RGG,20,2120,4.041,14.987500,1
0.1,0.3,0.6,5,15,29,RGG,21,2121,4.041,14.893750,1
0.1,0.3,0.6,5,15,29,RGG,22,2122,4.041,0.305469,1
0.1,0.3,0.6,5,15,29,RGG,23,2123,4.000,14.457422,1
0.1,0.3,0.6,5,15,29,RGG,24,2124,4.082,14.962500,1
0.1,0.3,0.6,5,15,29,RGG,25,2125,4.041,NaN,1
0.1,0.3,0.6,5,15,29,RGG,26,2126,4.082,0.346094,1
0.1,0.3,0.6,5,15,29,RGG,27,2127,4.082,0.214844,1
0.1,0.3,0.6,5,15,29,RGG,28,2128,4.041,14.589844,1
0.1,0.3,0.6,5,15,29,RGG,29,2129,4.082,14.925000,1
0.1,0.3,0.6,5,15,29,SBM,0,2200,4.000,NaN,1
0.1,0.3,0.6,5,15,29,SBM,1,2201,3.959,14.784180,1
0.1,0.3,0.6,5,15,29,SBM,2,2202,3.918,14.874219,1
0.1,0.3,0.6,5,15,29,SBM,3,2203,3.918,NaN,1
0.1,0.3,0.6,5,15,29,SBM,4,2204,4.041,NaN,1
0.1,0.3,0.6,5,15,29,SBM,5,2205,4.082,14.900000,1
0.1,0.3,0.6,5,15,29,SBM,6,2206,3.959,14.457031,1
0.1,0.3,0.6,5,15,29,SBM,7,2207,3.918,14.987476,1
0.1,0.3,0.6,5,15,29,SBM,8,2208,4.082,NaN,1
0.1,0.3,0.6,5,15,29,SBM,9,2209,3.918,14.805469,1
0.1,0.3,0.6,5,15,29,SBM,10,2210,4.000,14.612500,1
0.1,0.3,0.6,5,15,29,SBM,11,2211,4.000,14.925000,1
0.1,0.3,0.6,5,15,29,SBM,12,2212,3.959,14.590430,1
0.1,0.3,0.6,5,15,29,SBM,13,2213,4.041,14.783594,1
0.1,0.3,0.6,5,15,29,SBM,14,2214,4.000,14.775000,1
0.1,0.3,0.6,5,15,29,SBM,15,2215,3.959,14.780469,1
0.1,0.3,0.6,5,15,29,SBM,16,2216,3.959,14.950000,1
0.1,0.3,0.6,5,15,29,SBM,17,2217,4.000,14.857617,1
0.1,0.3,0.6,5,15,29,SBM,18,2218,4.041,14.687488,1
0.1,0.3,0.6,5,15,29,SBM,19,2219,4.041,14.883984,1
0.1,0.3,0.6,5,15,29,SBM,20,2220,4.041,14.874219,1
0.1,0.3,0.6,5,15,29,SBM,21,2221,3.959,NaN,1
0.1,0.3,0.6,5,15,29,SBM,22,2222,4.041,14.925000,1
0.1,0.3,0.6,5,15,29,SBM,23,2223,3.959,NaN,1
0.1,0.3,0.6,5,15,29,SBM,24,2224,4.000,14.937500,1
0.1,0.3,0.6,5,15,29,SBM,25,2225,4.041,14.752344,1
0.1,0.3,0.6,5,15,29,SBM,26,2226,4.000,NaN,1
0.1,0.3,0.6,5,15,29,SBM,27,2227,3.918,NaN,1
0.1,0.3,0.6,5,15,29,SBM,28,2228,4.041,NaN,1
0.1,0.3,0.6,5,15,29,SBM,29,2229,4.041,NaN,1
0.1,0.3,0.6,5,15,29,CP,0,2300,4.082,29.975000,1
0.1,0.3,0.6,5,15,29,CP,1,2301,3.918,29.800000,1
0.1,0.3,0.6,5,15,29,CP,2,2302,4.000,30.000000,1
0.1,0.3,0.6,5,15,29,CP,3,2303,4.041,29.950000,1
0.1,0.3,0.6,5,15,29,CP,4,2304,4.041,29.975000,1
0.1,0.3,0.6,5,15,29,CP,5,2305,4.000,NaN,1
0.1,0.3,0.6,5,15,29,CP,6,2306,3.918,29.969531,1
0.1,0.3,0.6,5,15,29,CP,7,2307,4.082,NaN,1
0.1,0.3,0.6,5,15,29,CP,8,2308,3.918,30.000000,1
0.1,0.3,0.6,5,15,29,CP,9,2309,3.959,29.975000,1
0.1,0.3,0.6,5,15,29,CP,10,2310,3.918,29.900000,1
0.1,0.3,0.6,5,15,29,CP,11,2311,3.959,NaN,1
0.1,0.3,0.6,5,15,29,CP,12,2312,4.082,29.968750,1
0.1,0.3,0.6,5,15,29,CP,13,2313,4.041,NaN,1
0.1,0.3,0.6,5,15,29,CP,14,2314,4.000,30.000000,1
0.1,0.3,0.6,5,15,29,CP,15,2315,3.959,29.987500,1
0.1,0.3,0.6,5,15,29,CP,16,2316,3.959,29.923438,1
0.1,0.3,0.6,5,15,29,CP,17,2317,4.041,30.000000,1
0.1,0.3,0.6,5,15,29,CP,18,2318,3.918,29.962109,1
0.1,0.3,0.6,5,15,29,CP,19,2319,3.918,29.900000,1
0.1,0.3,0.6,5,15,29,CP,20,2320,4.000,NaN,1
0.1,0.3,0.6,5,15,29,CP,21,2321,4.041,30.000000,1
0.1,0.3,0.6,5,15,29,CP,22,2322,4.041,29.950000,1
0.1,0.3,0.6,5,15,29,CP,23,2323,4.082,29.881250,1
0.1,0.3,0.6,5,15,29,CP,24,2324,4.000,NaN,1
0.1,0.3,0.6,5,15,29,CP,25,2325,4.041,29.873438,1
0.1,0.3,0.6,5,15,29,CP,26,2326,3.959,NaN,1
0.1,0.3,0.6,5,15,29,CP,27,2327,3.959,29.800000,1
0.1,0.3,0.6,5,15,29,CP,28,2328,4.000,NaN,1
0.1,0.3,0.6,5,15,29,CP,29,2329,3.918,NaN,1
0.1,0.4,0.5,5,20,24,WS,0,3000,4.000,0.163281,1
0.1,0.4,0.5,5,20,24,WS,1,3001,4.000,0.169531,1
0.1,0.4,0.5,5,20,24,WS,2,3002,4.000,0.121094,1
0.1,0.4,0.5,5,20,24,WS,3,3003,4.000,0.161719,1
0.1,0.4,0.5,5,20,24,WS,4,3004,4.000,0.178906,1
0.1,0.4,0.5,5,20,24,WS,5,3005,4.000,0.208594,1
0.1,0.4,0.5,5,20,24,WS,6,3006,4.000,0.138281,1
0.1,0.4,0.5,5,20,24,WS,7,3007,4.000,0.192969,1
0.1,0.4,0.5,5,20,24,WS,8,3008,4.000,0.185156,1
0.1,0.4,0.5,5,20,24,WS,9,3009,4.000,0.194531,1
0.1,0.4,0.5,5,20,24,WS,10,3010,4.000,0.169531,1
0.1,0.4,0.5,5,20,24,WS,11,3011,4.000,0.192969,1
0.1,0.4,0.5,5,20,24,WS,12,3012,4.000,0.274219,1
0.1,0.4,0.5,5,20,24,WS,13,3013,4.000,0.189844,1
0.1,0.4,0.5,5,20,24,WS,14,3014,4.000,0.255469,1
