rg,rc,rp,family,kappa_c_mean,kappa_c_std,n_valid
0.7,0.2,0.1,SBM,0.091992,0.019624,30
0.7,0.2,0.1,WS,0.098646,0.027748,30
0.7,0.3,0.0,CP,0.200000,0.000000,30
0.7,0.3,0.0,RGG,0.240677,0.070743,30
0.7,0.3,0.0,SBM,0.077708,0.018801,30
0.7,0.3,0.0,WS,0.095990,0.024350,30
0.8,0.1,0.1,CP,0.200872,0.001809,30
0.8,0.1,0.1,RGG,0.312656,0.122166,30
0.8,0.1,0.1,SBM,0.125964,0.048709,30
0.8,0.1,0.1,WS,0.116784,0.022949,30
0.8,0.2,0.0,CP,0.200234,0.001262,30
0.8,0.2,0.0,RGG,0.283229,0.072243,30
0.8,0.2,0.0,SBM,0.084870,0.020032,30
0.8,0.2,0.0,WS,0.102865,0.028001,30
0.9,0.1,0.0,CP,0.201575,0.002369,30
0.9,0.1,0.0,RGG,0.305833,0.092291,30
0.9,0.1,0.0,SBM,0.109720,0.039871,30
0.9,0.1,0.0,WS,0.116927,0.028820,30
